BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Keller Williams Legendary;Condo for sale;472000;1;1.0;700.0;85-28 Grand Ave Unit 4C;Elmhurst, NY 11373;85-28 Grand Ave Unit 4CElmhurst, NY 11373;New York;Queens County;Queens;Elmhurst;85-28;85-28 Grand Ave #4c, Elmhurst, NY 11373, USA;40.73531;-73.8812513
Brokered by Howard Hanna | Rand Realty;House for sale;598000;3;2.0;1144.0;3088 Heath Ave;Bronx, NY 10463;3088 Heath AveBronx, NY 10463;United States;New York;Bronx County;The Bronx;Heath Avenue;3088 Heath Ave, Bronx, NY 10463, USA;40.87796;-73.9011666
Brokered by RE MAX Edge;House for sale;1085000;5;3.0;1200.0;1625 71st St;Brooklyn, NY 11204;1625 71st StBrooklyn, NY 11204;United States;New York;Kings County;Brooklyn;71st Street;1625 71st St, Brooklyn, NY 11204, USA;40.618311;-73.997597
Brokered by Keller Williams Hudson Valley;Multi-family home for sale;680000;3;2.0;1535.0;664 Crescent St;Brooklyn, NY 11208;664 Crescent StBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Crescent Street;664 Crescent St., Brooklyn, NY 11208, USA;40.6713695;-73.869277
Brokered by Howard Hanna | Rand Realty;Condo for sale;200000;1;;637.0;1561 Unionport Rd Apt Td;Bronx, NY 10462;1561 Unionport Rd Apt TdBronx, NY 10462;United States;New York;Bronx County;The Bronx;Unionport Road;1561 Unionport Rd, Bronx, NY 10462, USA;40.8389649;-73.8613485
Brokered by Century Homes Realty Group LLC;Co-op for sale;210000;2;1.0;1000.0;144-55 Melbourne Ave Unit 1H;Flushing, NY 11367;144-55 Melbourne Ave Unit 1HFlushing, NY 11367;New York;Queens County;Queens;Flushing;144-55;144-55 Melbourne Ave #1g, Flushing, NY 11367, USA;40.734848;-73.8232512
Brokered by Re/Max Edge;Townhouse for sale;525000;2;2.0;996.0;51 Anaconda St;Staten Island, NY 10312;51 Anaconda StStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Anaconda Street;51 Anaconda St, Staten Island, NY 10312, USA;40.546286;-74.195582
Brokered by Prime Realty;Multi-family home for sale;999000;5;3.0;2184.207862;7312 Avenue U;Brooklyn, NY 11234;7312 Avenue UBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Avenue U;7312 Avenue U, Brooklyn, NY 11234, USA;40.6207744;-73.9055089
Brokered by Neuhaus Realty, Inc.;Multi-family home for sale;1799000;3;1.0;5400.0;2401-2407 Richmond Rd Unit A;Staten Island, NY 10306;2401-2407 Richmond Rd Unit AStaten Island, NY 10306;New York;Richmond County;Staten Island;New Dorp;2401;2401 Richmond Rd #2407, Staten Island, NY 10306, USA;40.5767317;-74.1187369
Brokered by Garfield, Leslie J. & Co., Inc.;Townhouse for sale;1900000;9;5.0;5000.0;2074 Fifth Ave;New York, NY 10035;2074 Fifth AveNew York, NY 10035;United States;New York;New York County;New York;5th Avenue;2074 5th Ave, New York, NY 10035, USA;40.8082842;-73.9412356
Brokered by Sovereign Realty Of Ny Inc;House for sale;519000;3;2.0;1200.0;99-50 164th Ave;Howard Beach, NY 11414;99-50 164th AveHoward Beach, NY 11414;United States;New York;Queens County;Queens;164th Avenue;9950 164th Ave, Jamaica, NY 11414, USA;40.651735;-73.830298
Brokered by Wonica REALTORS & Appraisers;House for sale;728900;4;1.0;960.0;305 S Greenleaf Ave;Staten Island, NY 10314;305 S Greenleaf AveStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;South Greenleaf Avenue;305 S Greenleaf Ave, Staten Island, NY 10314, USA;40.6163157;-74.1248333
Brokered by Brown Harris Stevens Forest Hills LLC;Co-op for sale;549000;2;1.0;2184.207862;110-11 Queens Blvd Unit 6L;Queens, NY 11375;110-11 Queens Blvd Unit 6LQueens, NY 11375;;New York;Queens County;Queens;Queens Boulevard;110-11 Queens Blvd, Forest Hills, NY 11375, USA;40.7201292;-73.8398387
Brokered by Brooklyn4U Rltyof DykerHeights;Pending;2300000;6;;4346.0;490 Jansen St;Staten Island, NY 10312;490 Jansen StStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Jansen Street;490 Jansen St, Staten Island, NY 10312, USA;40.5274146;-74.179841
Brokered by EXIT REALTY FIRST CHOICE;Co-op for sale;299999;2;2.0;1300.0;1835 Corporal Kennedy St Apt 2F;Bayside, NY 11360;1835 Corporal Kennedy St Apt 2FBayside, NY 11360;New York;Queens County;Queens;Bayside;18-35;18-35 Corporal Kennedy St #2f, Bayside, NY 11360, USA;40.7808597;-73.7834998
Brokered by Corcoran Park Slope;Pending;1800000;7;4.0;2832.0;729 E 18th St;Brooklyn, NY 11230;729 E 18th StBrooklyn, NY 11230;United States;New York;Kings County;Brooklyn;East 18th Street;729 E 18th St, Brooklyn, NY 11230, USA;40.6331671;-73.9597006
Brokered by Corcoran Park Avenue South;Co-op for sale;1195000;2;2.0;2184.207862;25 W 13th St Apt 1ON;New York, NY 10011;25 W 13th St Apt 1ONNew York, NY 10011;;New York County;New York;Manhattan;25;25 W 13th St #1a, New York, NY 10011, USA;40.7361476;-73.9955368
Brokered by Keller Williams NYC;Co-op for sale;200000;1;1.0;2184.207862;86-16 60th Ave Unit 2N;Queens, NY 11373;86-16 60th Ave Unit 2NQueens, NY 11373;New York;Queens County;Queens;Elmhurst;8616;8616 60th Ave Apt 2n, Elmhurst, NY 11373, USA;40.7304899;-73.8735933
Brokered by Brooklyn4U Rltyof DykerHeights;Pending;2300000;6;;4346.0;490 Jansen St;Staten Island, NY 10312;490 Jansen StStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Jansen Street;490 Jansen St, Staten Island, NY 10312, USA;40.5274146;-74.179841
Brokered by Corcoran Park Slope;Pending;1800000;7;4.0;2832.0;729 E 18th St;Brooklyn, NY 11230;729 E 18th StBrooklyn, NY 11230;United States;New York;Kings County;Brooklyn;East 18th Street;729 E 18th St, Brooklyn, NY 11230, USA;40.6331671;-73.9597006
Brokered by EXIT REALTY FIRST CHOICE;Co-op for sale;299999;2;2.0;1300.0;1835 Corporal Kennedy St Apt 2F;Bayside, NY 11360;1835 Corporal Kennedy St Apt 2FBayside, NY 11360;New York;Queens County;Queens;Bayside;18-35;18-35 Corporal Kennedy St #2f, Bayside, NY 11360, USA;40.7808597;-73.7834998
Brokered by Ashford Homes LLC;Condo for sale;599000;2;2.0;1095.0;2818 W 17th St Apt 1B;Brooklyn, NY 11224;2818 W 17th St Apt 1BBrooklyn, NY 11224;New York;Kings County;Brooklyn;Coney Island;2818;2818 W 17th St #1b, Brooklyn, NY 11224, USA;40.5784256;-73.9853674
Brokered by COMPASS;Pending;7500000;3;4.0;3050.0;329 Vanderbilt Ave;Brooklyn, NY 11205;329 Vanderbilt AveBrooklyn, NY 11205;United States;New York;Kings County;Brooklyn;Vanderbilt Avenue;329 Vanderbilt Ave, Brooklyn, NY 11205, USA;40.6883185;-73.9686154
Brokered by COMPASS;Co-op for sale;1775000;2;2.0;2184.207862;124 Thompson St Unit 27/28;Manhattan, NY 10012;124 Thompson St Unit 27/28Manhattan, NY 10012;New York;New York County;New York;Manhattan;124;124 Thompson St #27, New York, NY 10012, USA;40.7261696;-74.0013901
Brokered by Akcess24homes Inc;Multi-family home for sale;1059000;6;3.0;2184.207862;124 Norwood Ave;Brooklyn, NY 11208;124 Norwood AveBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Norwood Avenue;124 Norwood Ave, Brooklyn, NY 11208, USA;40.6830732;-73.8797396
Brokered by Red Door Realty Group;House for sale;1288888;3;4.0;1672.0;661 Ocean Ter;Staten Island, NY 10301;661 Ocean TerStaten Island, NY 10301;United States;New York;Richmond County;Staten Island;Ocean Terrace;661 Ocean Terrace, Staten Island, NY 10301, USA;40.6069525;-74.1016936
Brokered by 5 Boro Realty Corp;Multi-family home for sale;1299999;8;4.0;3448.0;1210 E 72nd St;Brooklyn, NY 11234;1210 E 72nd StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 72nd Street;1210 E 72nd St, Brooklyn, NY 11234, USA;40.6259736;-73.9141206
Brokered by DiTommaso Real Estate;House for sale;1399999;3;2.0;2700.0;316 Brehaut Ave;Staten Island, NY 10307;316 Brehaut AveStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Brehaut Avenue;316 Brehaut Ave, Staten Island, NY 10307, USA;40.5116874;-74.2388187
Brokered by Keller Williams Ny Realty;House for sale;725000;3;2.0;2410.0;4316 Ely Ave;Bronx, NY 10466;4316 Ely AveBronx, NY 10466;United States;New York;Bronx County;The Bronx;Ely Avenue;4316 Ely Ave, Bronx, NY 10466, USA;40.8965547;-73.8476725
Brokered by Keller Williams Realty Liberty;Co-op for sale;232500;1;1.0;2184.207862;123-35 82nd Rd Unit 3R;Kew Gardens, NY 11415;123-35 82nd Rd Unit 3RKew Gardens, NY 11415;New York;Queens County;Queens;Kew Gardens;123-35;123-35 82nd Rd #3r, Kew Gardens, NY 11415, USA;40.7121373;-73.8277084
Brokered by COMPASS;Co-op for sale;250000;3;1.0;2184.207862;11 St Nicholas Ave Unit 3E;Manhattan, NY 10026;11 St Nicholas Ave Unit 3EManhattan, NY 10026;New York;New York County;New York;Manhattan;11;11 St Nicholas Ave #3, New York, NY 10026, USA;40.7992319;-73.9526079
Brokered by Fillmore Real Estate;House for sale;639000;2;2.0;862.0;1755 E 51st St;Brooklyn, NY 11234;1755 E 51st StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 51st Street;1755 E 51st St, Brooklyn, NY 11234, USA;40.6175251;-73.9255226
Brokered by Exp Realty;House for sale;950000;4;4.0;2060.0;115-14 10th Ave;College Point, NY 11356;115-14 10th AveCollege Point, NY 11356;;New York;Queens County;Queens;10th Avenue;115-14 10th Ave, Flushing, NY 11356, USA;40.7884912;-73.8515778
Brokered by COMPASS;Condo for sale;12500000;3;2.0;4000.0;47 Mercer St Apt 2;Manhattan, NY 10013;47 Mercer St Apt 2Manhattan, NY 10013;New York;New York County;New York;Manhattan;47;47 Mercer St APT 2, New York, NY 10013, USA;40.7217614;-74.0013329
Brokered by All Area Brokerage Inc;Co-op for sale;430000;2;1.0;2184.207862;65-15 38th Ave Unit 3D;Woodside, NY 11377;65-15 38th Ave Unit 3DWoodside, NY 11377;New York;Queens County;Queens;Flushing;65-15;65-15 38th Ave #3f, Flushing, NY 11377, USA;40.7472542;-73.8978152
Brokered by TUDO - Tudor Realty Services;Co-op for sale;299000;3;1.0;2184.207862;5 Tudor City Pl Apt 1426;New York, NY 10017;5 Tudor City Pl Apt 1426New York, NY 10017;;United States;New York;New York County;Manhattan;Tudor City, New York, NY 10017, USA;40.7488491;-73.9716161
Brokered by New Concept Sheiks Realty Inc.;Co-op for sale;279000;3;1.0;1400.0;2199 Holland Ave Unit Le;Bronx, NY 10462;2199 Holland Ave Unit LeBronx, NY 10462;United States;New York;Bronx County;The Bronx;Holland Avenue;2199 Holland Ave, Bronx, NY 10462, USA;;
Brokered by RE MAX Real Estate Professionals;House for sale;1725000;3;2.0;1508.0;132 91st St;Brooklyn, NY 11209;132 91st StBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;91st Street;132 91st St, Brooklyn, NY 11209, USA;40.6208655;-74.036863
Brokered by RE/MAX Elite;Multi-family home for sale;1698000;4;4.0;3620.0;66 Archwood Ave;Staten Island, NY 10312;66 Archwood AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Archwood Avenue;66 Archwood Ave, Staten Island, NY 10312, USA;40.5357703;-74.1849822
Brokered by RE MAX Edge;House for sale;438000;2;2.0;1354.0;123 Jamie Ln;Staten Island, NY 10312;123 Jamie LnStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Jamie Lane;123 Jamie Ln, Staten Island, NY 10312, USA;40.5628043;-74.1853825
Brokered by qvtopservice;Co-op for sale;100000;3;1.0;512.0;1040 Neilson St Apt 3A;Far Rockaway, NY 11691;1040 Neilson St Apt 3AFar Rockaway, NY 11691;New York;Queens County;Queens;Far Rockaway;Oct-40;10-40 Neilson St #3a, Far Rockaway, NY 11691, USA;40.6042895;-73.7478287
Brokered by Keller Williams Realty Elite;Co-op for sale;299000;1;1.0;2184.207862;37-20 81st St Unit 2E;Jackson Heights, NY 11372;37-20 81st St Unit 2EJackson Heights, NY 11372;;Queens County;Queens;Jackson Heights;3720;3720 81st St Apt 2e, Jackson Heights, NY 11372, USA;40.7490984;-73.8849909
Brokered by Winzone Realty Inc;Condo for sale;625000;2;2.0;995.0;2 Bay Club Rd Unit 1M;Bayside, NY 11360;2 Bay Club Rd Unit 1MBayside, NY 11360;New York;Queens County;Queens;Bayside;2;2 Bay Club Dr #1u, Bayside, NY 11360, USA;40.7780359;-73.7808993
Brokered by KA REALTY GROUP INC;House for sale;350000;3;;1520.0;399 Linwood St;Brooklyn, NY 11208;399 Linwood StBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Linwood Street;399 Linwood St, Brooklyn, NY 11208, USA;40.6758271;-73.8828978
Brokered by Eden7 Realty Inc;Co-op for sale;699999;3;2.0;2184.207862;1040 Carroll St Unit 6B;Crown Heights, NY 11213;1040 Carroll St Unit 6BCrown Heights, NY 11213;New York;Kings County;Brooklyn;Crown Heights;1040;1040 Carroll St Apartment 6e, Brooklyn, NY 11225, USA;40.6672186;-73.9566539
Brokered by Keller Williams NYC;Co-op for sale;529000;1;1.0;2184.207862;301 E 22nd St Apt 2R;New York, NY 10010;301 E 22nd St Apt 2RNew York, NY 10010;New York;New York County;New York;Manhattan;301;301 E 22nd St #2r, New York, NY 10010, USA;40.7371253;-73.9806613
Brokered by Brown Harris Stevens - 43 North Moore Street;Townhouse for sale;23000000;5;6.0;7058.0;334 W 20th St Unit Townhouse;Manhattan, NY 10011;334 W 20th St Unit TownhouseManhattan, NY 10011;United States;New York;New York County;New York;West 20th Street;334 W 20th St, New York, NY 10011, USA;40.7439188;-74.0014359
Brokered by Charles Rutenberg Realty Inc;House for sale;599000;3;2.0;1208.0;88-20 78th St;Jamaica, NY 11421;88-20 78th StJamaica, NY 11421;United States;New York;Queens County;Queens;78th Street;88-20 78th St, Jamaica, NY 11421, USA;40.6892122;-73.8634426
Brokered by Ortiz Home Selling Team Llc;Co-op for sale;279900;1;1.0;900.0;1020 Grand Concourse Apt 14D;Bronx, NY 10451;1020 Grand Concourse Apt 14DBronx, NY 10451;New York;Bronx County;The Bronx;Concourse Village;1020;1020 Grand Concourse #14d, Bronx, NY 10451, USA;40.8301222;-73.9202611
Brokered by Platzner International Group;Co-op for sale;165000;1;1.0;875.0;205 E 238th St Apt 1J;Bronx, NY 10470;205 E 238th St Apt 1JBronx, NY 10470;New York;Bronx County;The Bronx;East Bronx;205;205 E 238th St #1j, Bronx, NY 10470, USA;40.8994229;-73.8706379
Brokered by Douglas Elliman - 664 Fulton;Co-op for sale;270000;1;1.0;2184.207862;2155 82nd St Apt 5O;Brooklyn, NY 11214;2155 82nd St Apt 5OBrooklyn, NY 11214;New York;Kings County;Brooklyn;Bensonhurst;2155;2155 82nd St #5o, Brooklyn, NY 11214, USA;40.6047809;-73.9920476
Brokered by WIESNER ROCIO D;Condo for sale;625000;2;1.0;825.0;4-74 48 Ave Ph 3C;Long Island City, NY 11109;4-74 48 Ave Ph 3CLong Island City, NY 11109;;Queens County;Queens;Long Island City;474;474 48th Ave Ph 3h, Long Island City, NY 11109, USA;40.744346;-73.957101
Brokered by Ortiz Home Selling Team Llc;Co-op for sale;279900;1;1.0;900.0;1020 Grand Concourse Apt 14D;Bronx, NY 10451;1020 Grand Concourse Apt 14DBronx, NY 10451;New York;Bronx County;The Bronx;Concourse Village;1020;1020 Grand Concourse #14d, Bronx, NY 10451, USA;40.8301222;-73.9202611
Brokered by Brown Harris Stevens - 43 North Moore Street;Townhouse for sale;23000000;5;6.0;7058.0;334 W 20th St Unit Townhouse;Manhattan, NY 10011;334 W 20th St Unit TownhouseManhattan, NY 10011;United States;New York;New York County;New York;West 20th Street;334 W 20th St, New York, NY 10011, USA;40.7439188;-74.0014359
Brokered by Keller Williams Rlty Landmark;Pending;1970000;4;4.0;3111.0;303 Knollwood Ave;Douglaston, NY 11363;303 Knollwood AveDouglaston, NY 11363;United States;New York;Queens County;Queens;Knollwood Avenue;303 Knollwood Ave, Douglaston, NY 11363, USA;40.7800183;-73.7514697
Brokered by Ycl Real Estate Consulting;Multi-family home for sale;580000;5;2.0;1780.0;49 3 Brighton Ct;Brooklyn, NY 11235;49 3 Brighton CtBrooklyn, NY 11235;United States;New York;Kings County;Brooklyn;Brighton Court;3 Brighton Ct, Brooklyn, NY 11223, USA;40.5874424;-73.9675716
Brokered by Keller Williams NYC;Condo for sale;979000;3;2.0;1272.0;324 77th St Apt 2C;Brooklyn, NY 11209;324 77th St Apt 2CBrooklyn, NY 11209;New York;Kings County;Brooklyn;Bay Ridge;324;324 77th St #2c, Brooklyn, NY 11209, USA;40.6295982;-74.0275565
Brokered by Keller Williams NYC;Co-op for sale;269000;2;1.0;2184.207862;2090 Madison Ave Apt 3D;New York, NY 10037;2090 Madison Ave Apt 3DNew York, NY 10037;New York;New York County;New York;Manhattan;2090;2090 Madison Ave #3d, New York, NY 10037, USA;40.8099353;-73.9377818
Brokered by Park Assets Real Estate Corp;House for sale;1700000;3;4.0;2184.207862;137-25 133rd Ave;Jamaica, NY 11436;137-25 133rd AveJamaica, NY 11436;United States;New York;Queens County;Queens;133rd Avenue;137-25 133rd Ave, Jamaica, NY 11436, USA;40.6693668;-73.7996259
Brokered by Sotheby's International Realty - Downtown Manhattan;Co-op for sale;499000;2;2.0;2184.207862;519 E 87th St Apt D;New York, NY 10128;519 E 87th St Apt DNew York, NY 10128;New York;New York County;New York;Manhattan;519;519 E 87th St d, New York, NY 10128, USA;40.7762825;-73.9453865
Brokered by Century 21 Amiable Realty Group II, Inc.;House for sale;1699888;3;3.0;2275.0;160-14 83rd St;Howard Beach, NY 11414;160-14 83rd StHoward Beach, NY 11414;United States;New York;Queens County;Queens;83rd Street;160-14 83rd St, Jamaica, NY 11414, USA;40.6556445;-73.848959
Brokered by Milky Forst Properties Inc;House for sale;3100000;6;4.0;2184.207862;555 Oak Dr;Far Rockaway, NY 11691;555 Oak DrFar Rockaway, NY 11691;United States;New York;Queens County;Queens;Oak Drive;555 Oak Dr, Far Rockaway, NY 11691, USA;40.6021451;-73.7401761
Brokered by RE MAX Distinguished Homes & Properties;House for sale;499000;4;2.0;1752.0;2712 Heath Ave;Bronx, NY 10463;2712 Heath AveBronx, NY 10463;United States;New York;Bronx County;The Bronx;Heath Avenue;2712 Heath Ave, Bronx, NY 10463, USA;40.8717268;-73.9050847
Brokered by KELLER WILLIAMS REALTY LANDMARK II;Multi-family home for sale;1250000;6;;3312.0;95-18 42 Ave;Elmhurst, NY 11373;95-18 42 AveElmhurst, NY 11373;United States;New York;Queens County;Queens;42nd Avenue;95-18 42nd Ave, Elmhurst, NY 11373, USA;40.7459265;-73.868944
Brokered by CENTURY 21 Homefront;Co-op for sale;245000;2;1.0;900.0;2260 Burnett St Apt 1F;Brooklyn, NY 11229;2260 Burnett St Apt 1FBrooklyn, NY 11229;;Kings County;Brooklyn;Gerritsen Beach;2260;2260 Burnett St #1f, Brooklyn, NY 11229, USA;40.6014996;-73.9324298
Brokered by COMPASS;Townhouse for sale;5800000;7;5.0;6360.0;39 S Portland Ave;Brooklyn, NY 11217;39 S Portland AveBrooklyn, NY 11217;United States;New York;Kings County;Brooklyn;South Portland Avenue;39 S Portland Ave, Brooklyn, NY 11217, USA;40.6884736;-73.9747288
Brokered by Coldwell Banker Advantage;House for sale;2350000;5;4.0;4270.0;144 Dunham St;Staten Island, NY 10309;144 Dunham StStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Dunham Street;144 Dunham St, Staten Island, NY 10309, USA;;
Brokered by Brown Harris Stevens;Co-op for sale;425000;3;1.0;450.0;410 W 23rd St Apt 6E;Manhattan, NY 10011;410 W 23rd St Apt 6EManhattan, NY 10011;New York;New York County;New York;Manhattan;410;410 W 23rd St #6f, New York, NY 10011, USA;40.7464807;-74.0018835
Brokered by Chris Homes & Lands, Inc.;House for sale;799000;3;2.0;2340.0;825 Rockland Ave;Staten Island, NY 10314;825 Rockland AveStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Rockland Avenue;825 Rockland Ave, Staten Island, NY 10314, USA;40.5887913;-74.1444799
Brokered by Lj Estates Inc;Multi-family home for sale;725000;4;2.0;1700.0;445 Milford St Unit 04457-0058;Brooklyn, NY 11208;445 Milford St Unit 04457-0058Brooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Milford Street;445 Milford St, Brooklyn, NY 11208, USA;40.6681943;-73.8749046
Brokered by Dynamik Real Estate;Co-op for sale;3695000;2;2.0;1697.0;292 Lafayette St Apt 2E;Manhattan, NY 10012;292 Lafayette St Apt 2EManhattan, NY 10012;New York;New York County;New York;Manhattan;292;292 Lafayette St #2a, New York, NY 10012, USA;40.7246503;-73.9960912
Brokered by Jamie & Connie Real Estate Grp;Pending;3100000;4;;3600.0;145-38 3rd Ave;Whitestone, NY 11357;145-38 3rd AveWhitestone, NY 11357;United States;New York;Queens County;Queens;3rd Avenue;145-38 3rd Ave, Flushing, NY 11357, USA;40.7956412;-73.8246757
Brokered by Real Broker NY LLC;House for sale;1499999;5;3.0;2184.207862;114-15 91st Ave;Richmond Hill, NY 11418;114-15 91st AveRichmond Hill, NY 11418;United States;New York;Queens County;Queens;91st Avenue;114-15 91st Ave, Jamaica, NY 11418, USA;40.695043;-73.832656
Brokered by E Realty International Corp;House for sale;1250000;4;3.0;2184.207862;32-15 168th St;Flushing, NY 11358;32-15 168th StFlushing, NY 11358;United States;New York;Queens County;Queens;168th Street;32-15 168th St, Flushing, NY 11358, USA;40.7684367;-73.7969886
Brokered by Compass Greater Ny, Llc;House for sale;1199000;4;1.0;1840.0;7702 15th Ave;Brooklyn, NY 11228;7702 15th AveBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;15th Avenue;7702 15th Ave, Brooklyn, NY 11228, USA;40.6165131;-74.0045846
Brokered by COMPASS;Condo for sale;28000000;4;4.0;5000.0;443 Greenwich St Ph E;Manhattan, NY 10013;443 Greenwich St Ph EManhattan, NY 10013;New York;New York County;New York;Manhattan;443;443 Greenwich St Ph E, New York, NY 10013, USA;40.7229769;-74.0093524
Brokered by Metro Real Estate Inc;Condo for sale;719000;3;2.0;2184.207862;154-11 Riverside Dr Unit 17B;Whitestone, NY 11357;154-11 Riverside Dr Unit 17BWhitestone, NY 11357;New York;Queens County;Queens;Beechhurst;15411;15411 Riverside Dr # 17b, Beechhurst, NY 11357, USA;40.7964178;-73.8058096
Brokered by Keystone Realty USA Corp;Co-op for sale;169000;3;1.0;2184.207862;72-61 113 St Unit 4B;Forest Hills, NY 11375;72-61 113 St Unit 4BForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;72-61;72-61 113th St #4b, Forest Hills, NY 11375, USA;40.7205894;-73.8359422
Brokered by BESMATCH REAL ESTATE;Co-op for sale;99000;1;1.0;850.0;1177 Anderson Ave Apt 2D;Bronx, NY 10452;1177 Anderson Ave Apt 2DBronx, NY 10452;New York;Bronx County;The Bronx;Highbridge;1177;1177 Anderson Ave #2d, Bronx, NY 10452, USA;40.83645;-73.924271
Brokered by Sowae Corp;House for sale;399000;3;;1601.0;104-06 212 St;Queens, NY 11429;104-06 212 StQueens, NY 11429;United States;New York;Queens County;Queens;212th Street;104-06 212th St, Jamaica, NY 11417, USA;40.7115495;-73.7464296
Brokered by Corcoran West Side Gallery;Condo for sale;1300000;2;2.0;1140.0;392 Central Park W Apt 1R;New York, NY 10025;392 Central Park W Apt 1RNew York, NY 10025;New York;New York County;New York;Manhattan;392;392 Central Park W #1r, New York, NY 10025, USA;40.7945469;-73.9649582
Brokered by Keystone Realty USA Corp;Multi-family home for sale;888000;5;4.0;2184.207862;527 Glenmore Ave;Brooklyn, NY 11207;527 Glenmore AveBrooklyn, NY 11207;United States;New York;Kings County;Brooklyn;Glenmore Avenue;527 Glenmore Ave, Brooklyn, NY 11207, USA;40.6741308;-73.8908415
Brokered by Keller Williams Rlty Landmark;Multi-family home for sale;1308888;4;3.0;2184.207862;17-20 150th St;Whitestone, NY 11357;17-20 150th StWhitestone, NY 11357;;New York;Queens County;Queens;150th Street;17-20 150th St, Whitestone, NY 11357, USA;40.7836228;-73.8141298
Brokered by Russo Realty Properties;House for sale;1265000;3;2.0;2184.207862;64-30 72nd St;Middle Village, NY 11379;64-30 72nd StMiddle Village, NY 11379;United States;New York;Queens County;Queens;72nd Street;64-30 72nd St, Flushing, NY 11379, USA;40.7151328;-73.8834603
Brokered by Remax Edge - RE/MAX EDGE;Condo for sale;558000;1;1.0;751.0;346 91st St Apt 307;Brooklyn, NY 11209;346 91st St Apt 307Brooklyn, NY 11209;New York;Kings County;Brooklyn;Fort Hamilton;346;346 91st St APT 307, Brooklyn, NY 11209, USA;40.619526;-74.0311577
Brokered by RE MAX 1st Choice;House for sale;1280000;4;2.0;2340.0;240-67 Poplar St;Douglaston, NY 11363;240-67 Poplar StDouglaston, NY 11363;United States;New York;Queens County;Queens;Poplar Street;240-67 Poplar St, Flushing, NY 11363, USA;40.7690548;-73.7444989
Brokered by Brown Harris Stevens- 3531 Johnson Avenue;Co-op for sale;429000;2;2.0;1450.0;3515 Henry Hudson Pkwy Apt 3D;Bronx, NY 10463;3515 Henry Hudson Pkwy Apt 3DBronx, NY 10463;Bronx County;The Bronx;Riverdale;Henry Hudson Parkway;The Briarcliff;The Briarcliff, 3515 Henry Hudson Pkwy #3d, Bronx, NY 10463, USA;40.8868607;-73.9129726
Brokered by Tom Crimmins Realty, Ltd.;Condo for sale;399900;2;2.0;853.0;120 Wellington Ct Apt 1B;Staten Island, NY 10314;120 Wellington Ct Apt 1BStaten Island, NY 10314;New York;Richmond County;Staten Island;New Springville;120;120 Wellington Ct #1b, Staten Island, NY 10314, USA;40.5803785;-74.1578058
NoBroker;House for sale;499900;3;1.0;1040.0;334 Harbor Rd;Staten Island, NY 10303;334 Harbor RdStaten Island, NY 10303;United States;New York;Richmond County;Staten Island;Harbor Road;334 Harbor Rd, Staten Island, NY 10303, USA;40.6281869;-74.1606727
Brokered by Brown Harris Stevens- 3531 Johnson Avenue;Co-op for sale;429000;2;2.0;1450.0;3515 Henry Hudson Pkwy Apt 3D;Bronx, NY 10463;3515 Henry Hudson Pkwy Apt 3DBronx, NY 10463;Bronx County;The Bronx;Riverdale;Henry Hudson Parkway;The Briarcliff;The Briarcliff, 3515 Henry Hudson Pkwy #3d, Bronx, NY 10463, USA;40.8868607;-73.9129726
Brokered by Weichert Realtors The Franzese Group;Multi-family home for sale;2489000;4;4.0;2334.0;230 7th St;Brooklyn, NY 11215;230 7th StBrooklyn, NY 11215;United States;New York;Kings County;Brooklyn;7th Street;230 7th St, Brooklyn, NY 11215, USA;40.671985;-73.9889397
Brokered by JM Properties;Condo for sale;255500;1;1.0;950.0;422 Maryland Ave Apt 3D;Staten Island, NY 10305;422 Maryland Ave Apt 3DStaten Island, NY 10305;New York;Richmond County;Staten Island;Rosebank;422;422 Maryland Ave #3b, Staten Island, NY 10305, USA;40.6077498;-74.0743086
Brokered by Corcoran East Side;House for sale;30000000;5;;6000.0;15 Bank St;New York, NY 10014;15 Bank StNew York, NY 10014;United States;New York;New York County;New York;Bank Street;15 Bank St, New York, NY 10014, USA;40.7371772;-74.0024577
